"APR","Count"
"3.882","74"
"3.883","69"
"3.884","86"
"3.885","75"
"3.886","82"
"3.887","69"
"3.888","72"
"3.889","83"
"3.89","86"
"3.891","81"
"3.892","76"
"3.893","58"
"3.894","80"
"3.895","85"
"3.896","94"
"3.897","77"
"3.898","59"
"3.899","75"
"3.9","77"
"3.901","84"
"3.902","69"
"3.903","104"
"3.904","106"
"3.905","97"
"3.906","99"
"3.907","45"
"3.908","74"
"3.909","110"
"3.91","75"
"3.911","82"
"3.912","72"
"3.913","84"
"3.914","103"
"3.915","79"
"3.916","81"
"3.917","80"
"3.918","146"
"3.919","92"
"3.92","97"
"3.921","93"
"3.922","429"
"3.923","78"
"3.924","75"
"3.925","78"
"3.926","79"
"3.927","104"
"3.928","81"
"3.929","61"
"3.93","88"
"3.931","84"
"3.932","81"
"3.933","93"
"3.934","114"
"3.935","93"
"3.936","75"
"3.937","101"
"3.938","63"
"3.939","70"
"3.94","109"
"3.941","73"
"3.942","82"
"3.943","91"
"3.944","93"
"3.945","89"
"3.946","80"
"3.947","85"
"3.948","68"
"3.949","67"
"3.95","64"
"3.951","83"
"3.952","89"
"3.953","88"
"3.954","101"
"3.955","76"
"3.956","78"
"3.957","86"
"3.958","84"
"3.959","109"
"3.96","87"
"3.961","74"
"3.962","187"
"3.963","100"
"3.964","64"
"3.965","93"
"3.966","95"
"3.967","64"
"3.968","90"
"3.969","127"
"3.97","90"
"3.971","107"
"3.972","93"
"3.973","104"
"3.974","87"
"3.975","92"
"3.976","88"
"3.977","95"
"3.978","94"
"3.979","82"
"3.98","93"
"3.981","96"
"3.982","94"
"3.983","121"
"3.984","99"
"3.985","101"
"3.986","109"
"3.987","107"
"3.988","92"
"3.989","105"
"3.99","449"
"3.991","106"
"3.992","98"
"3.993","85"
"3.994","84"
"3.995","87"
"3.996","106"
"3.997","90"
"3.998","123"
"3.999","96"
"4","1653"
"4.001","113"
"4.002","107"
"4.003","114"
"4.004","123"
"4.005","116"
"4.006","118"
"4.007","112"
"4.008","104"
"4.009","110"
"4.01","115"
"4.011","128"
"4.012","120"
"4.013","93"
"4.014","88"
"4.015","96"
"4.016","133"
"4.017","126"
"4.018","117"
"4.019","127"
"4.02","89"
